"Part";"Value";"Device";"Package";"Description";"";
"FUD1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";
"FUD2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";
"FUD3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";
"FUD4";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";
"FUD5";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";
"FUD6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";
"MGT1";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";
"MGT2";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";
"MGT3";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";
"MGT4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";
"R1";"1K";"R_R0603";"R0603";"RESISTOR, American symbol";"";
"R2";"1K";"R_R0603";"R0603";"RESISTOR, American symbol";"";
"R3";"1K";"R_R0603";"R0603";"RESISTOR, American symbol";"";
"R4";"1K";"R_R0603";"R0603";"RESISTOR, American symbol";"";
"R5";"1K";"R_R0603";"R0603";"RESISTOR, American symbol";"";
"R6";"1M";"R_R0603";"R0603";"RESISTOR, American symbol";"";
"SW1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";
"SW2";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";
"SW3";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";
"U$1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"";"";
"U$2";"SSD1306";"SSD1306";"MA04-1";"";"";
"U$3";"MPU6050";"MPU6050";"MA04-1";"";"";
"U$4";"AHT10";"AHT10";"MA04-1";"";"";
